MOVIE NAME, YEAR, MALE SINGER COUNT, FEMALE SINGER COUNT, MALE SONG COUNT, FEMALE SONG COUNT,total,male_percent,female_percent,difference,bias
Dulhan Banoo Main Teri_1999,1999,3,4,4,8,7,42.857142857142854,57.14285714285714,-14.285714285714285,bias
Aaj Ka M.L.A. Ram Avtar_1984,1984,3,1,9,5,4,75.0,25.0,50.0,bias
Shanakht_1989,1989,1,0,1,0,1,100.0,0.0,100.0,bias
Lashkar (film)_1989,1989,0,1,0,1,1,0.0,100.0,-100.0,bias
Aadamkhor_1986,1986,1,0,2,0,1,100.0,0.0,100.0,bias
Do Boond Pani_1971,1971,2,2,2,2,4,50.0,50.0,0.0,non bias
NH10_2015,2015,3,4,5,5,7,42.857142857142854,57.14285714285714,-14.285714285714285,bias
Anth_1993,1993,4,4,5,6,8,50.0,50.0,0.0,non bias
Ishq Par Zor Nahin_1970,1970,2,2,3,6,4,50.0,50.0,0.0,non bias
Insaaf (1973 film)_1973,1973,2,2,4,8,4,50.0,50.0,0.0,non bias
Joru Ka Ghulam (2000 film)_2000,2000,5,3,7,4,8,62.5,37.5,25.0,bias
Delhi-6_2009,2009,12,5,13,7,17,70.58823529411765,29.411764705882355,41.1764705882353,bias
Jigarwala_1991,1991,0,2,0,6,2,0.0,100.0,-100.0,bias
Farishta Ya Qatil_1977,1977,4,5,6,5,9,44.44444444444444,55.55555555555556,-11.111111111111114,bias
Ayaash_1982,1982,3,1,3,2,4,75.0,25.0,50.0,bias
Ki & Ka_2016,2016,4,3,4,3,7,57.14285714285714,42.857142857142854,14.285714285714285,bias
Jaagruti_1992,1992,6,5,10,10,11,54.54545454545454,45.45454545454545,9.090909090909086,non bias
Apna Bana Lo_1982,1982,1,2,2,5,3,33.33333333333333,66.66666666666666,-33.33333333333333,bias
Dard Ka Rishta_1982,1982,0,1,0,2,1,0.0,100.0,-100.0,bias
Zindagi Tere Naam_2012,2012,3,2,4,6,5,60.0,40.0,20.0,bias
Half Girlfriend (film)_2017,2017,5,3,7,4,8,62.5,37.5,25.0,bias
Sabse Bada Khiladi_1995,1995,3,1,7,2,4,75.0,25.0,50.0,bias
Tahqiqaat_1993,1993,1,4,1,5,5,20.0,80.0,-60.0,bias
Aladin (2009 film)_2009,2009,7,3,12,5,10,70.0,30.0,40.0,bias
Hindi Medium (film)_2017,2017,4,1,4,1,5,80.0,20.0,60.0,bias
Daulat Ki Jung_1992,1992,1,2,3,5,3,33.33333333333333,66.66666666666666,-33.33333333333333,bias
Himmatwala (1983 film)_1983,1983,2,2,5,4,4,50.0,50.0,0.0,non bias
Kurbaan (2009 film)_2009,2009,4,2,4,2,6,66.66666666666666,33.33333333333333,33.33333333333333,bias
Department (film)_2012,2012,3,1,4,1,4,75.0,25.0,50.0,bias
No Problem (2010 film)_2010,2010,3,3,5,7,6,50.0,50.0,0.0,non bias
Sirf Tum (1999 film)_1999,1999,4,3,5,5,7,57.14285714285714,42.857142857142854,14.285714285714285,bias
Deedar-E-Yaar_1982,1982,2,2,5,4,4,50.0,50.0,0.0,non bias
Yeh Jawaani Hai Deewani_2013,2013,6,4,9,5,10,60.0,40.0,20.0,bias
Jaan Tere Naam_1992,1992,2,3,9,4,5,40.0,60.0,-20.0,bias
Bheegi Palkein_1982,1982,2,3,4,5,5,40.0,60.0,-20.0,bias
Kaala Patthar (1979 film)_1979,1979,3,3,6,6,6,50.0,50.0,0.0,non bias
Anokhi Pehchan_1972,1972,1,4,1,5,5,20.0,80.0,-60.0,bias
Shri Krishna Leela_1971,1971,1,2,1,7,3,33.33333333333333,66.66666666666666,-33.33333333333333,bias
Mera Desh Mera Dharam_1973,1973,2,2,4,7,4,50.0,50.0,0.0,non bias
Zameen Aasmaan (1984 film)_1984,1984,2,2,3,4,4,50.0,50.0,0.0,non bias
Kab? Kyoon? Aur Kahan?_1970,1970,1,3,2,4,4,25.0,75.0,-50.0,bias
Balak Dhruv_1974,1974,1,2,2,7,3,33.33333333333333,66.66666666666666,-33.33333333333333,bias
Haath Ki Safai_1974,1974,3,2,4,4,5,60.0,40.0,20.0,bias
Agneekaal_1990,1990,4,2,4,2,6,66.66666666666666,33.33333333333333,33.33333333333333,bias
Kabzaa_1988,1988,1,3,1,3,4,25.0,75.0,-50.0,bias
Pehchaan (1993 film)_1993,1993,3,3,4,4,6,50.0,50.0,0.0,non bias
Phaansi_1978,1978,1,1,2,1,2,50.0,50.0,0.0,non bias
Darling Darling (1977 film)_1977,1977,2,1,12,4,3,66.66666666666666,33.33333333333333,33.33333333333333,bias
Mohra_1994,1994,3,3,7,7,6,50.0,50.0,0.0,non bias
Dilwale Dulhania Le Jayenge_1995,1995,3,4,5,7,7,42.857142857142854,57.14285714285714,-14.285714285714285,bias
Maine Pyar Kiya_1989,1989,2,3,10,11,5,40.0,60.0,-20.0,bias
Faasle_1985,1985,1,4,4,10,5,20.0,80.0,-60.0,bias
Zid (2014 film)_2014,2014,1,1,2,3,2,50.0,50.0,0.0,non bias
Bol Bachchan_2012,2012,5,2,10,6,7,71.42857142857143,28.57142857142857,42.85714285714286,bias
Bullet (1976 film)_1976,1976,1,2,3,6,3,33.33333333333333,66.66666666666666,-33.33333333333333,bias
Anurodh_1977,1977,2,0,6,0,2,100.0,0.0,100.0,bias
Loha (1987 film)_1987,1987,2,3,2,11,5,40.0,60.0,-20.0,bias
Magroor_1979,1979,4,3,4,4,7,57.14285714285714,42.857142857142854,14.285714285714285,bias
Bawarchi_1972,1972,3,3,4,5,6,50.0,50.0,0.0,non bias
Mere Humsafar_1970,1970,2,2,2,4,4,50.0,50.0,0.0,non bias
Daulat Ke Dushman_1983,1983,2,2,8,4,4,50.0,50.0,0.0,non bias
Andhera_1980,1980,0,1,0,8,1,0.0,100.0,-100.0,bias
100 Days (1991 film)_1991,1991,1,3,3,8,4,25.0,75.0,-50.0,bias
Sparsh (film)_1980,1980,1,0,1,0,1,100.0,0.0,100.0,bias
Badnam Basti_1971,1971,1,0,2,0,1,100.0,0.0,100.0,bias
Tan-Badan_1986,1986,2,2,5,5,4,50.0,50.0,0.0,non bias
Rootha Na Karo_1970,1970,2,1,5,3,3,66.66666666666666,33.33333333333333,33.33333333333333,bias
Dil Daulat Duniya_1972,1972,2,3,5,5,5,40.0,60.0,-20.0,bias
Shool_1999,1999,2,2,4,3,4,50.0,50.0,0.0,non bias
Chor Ho To Aisa_1978,1978,4,1,4,2,5,80.0,20.0,60.0,bias
Ajab Prem Ki Ghazab Kahani_2009,2009,5,2,9,5,7,71.42857142857143,28.57142857142857,42.85714285714286,bias
Anubhav_1971,1971,1,1,1,3,2,50.0,50.0,0.0,non bias
Adventures of Tarzan_1985,1985,0,2,0,4,2,0.0,100.0,-100.0,bias
Raju Ban Gaya Gentleman_1992,1992,3,2,9,7,5,60.0,40.0,20.0,bias
Door Ka Raahi_1971,1971,3,1,7,1,4,75.0,25.0,50.0,bias
Ab Kya Hoga_1977,1977,0,2,0,8,2,0.0,100.0,-100.0,bias
Lakhon Mein Ek_1971,1971,3,2,6,10,5,60.0,40.0,20.0,bias
Khwab_1980,1980,2,1,3,2,3,66.66666666666666,33.33333333333333,33.33333333333333,bias
Apna Khoon_1978,1978,1,1,4,12,2,50.0,50.0,0.0,non bias
Kartavya (1995 film)_1995,1995,3,2,9,9,5,60.0,40.0,20.0,bias
Aakhri Nishchay_1988,1988,1,1,2,3,2,50.0,50.0,0.0,non bias
